#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,215,3535.33991
0,474,3535.78126
0,162,3535.93733
0,235,3536.155362
0,2380,3540.907252
0,83,3540.985298
43,115,3541.090368
0,441,3541.496417
0,1072,3542.472923
0,115,3542.577344
0,303,3544.188491
0,1778,3545.810935
0,11083,3563.893919
0,49,3563.938335
0,50,3563.983502
0,689,3564.623694
0,205,3564.811948
0,60,3564.866073
0,170,3565.023118
0,32,3565.051989
0,998,3567.302863
117,166,3567.46148
0,207,3567.649977
0,588,3568.189863
0,930,3570.404275
0,86,3570.483911
0,45,3570.526434
0,150,3570.669253
0,206,3570.858601
0,13278,3592.370394
0,106,3592.468751
0,67,3592.531487
0,219,3592.740535
0,85,3592.819599
0,38,3592.854597
0,292,3593.12621
0,757,3593.838125
0,113,3593.943189
0,66,3594.003259
0,234,3595.518809
0,170,3595.679313
0,1272,3596.869901
0,679,3598.817542
0,82,3598.894404
0,376,3599.249835
0,62,3599.306684
0,88,3599.389465
0,172,3599.549459
0,68,3599.611798
0,226,3599.82137
0,12229,3619.34845
0,390,3619.720548
0,504,3621.536927
0,61,3621.595589
0,245,3621.835208
