#{"t_start": 1681381771.0962954, "env_id": null}
r,l,t
0,32,910.999263
0,668,911.597654
0,170,911.749364
0,307,913.341221
0,147,913.478207
0,1562,914.90272
0,237,915.12294
0,280,916.717043
2436,3256,920.987478
25,835,923.082388
0,35,923.115772
0,584,923.666887
0,350,923.988201
0,303,924.26728
0,280,924.529286
0,46,924.572613
0,187,924.745555
0,53,926.131017
0,1838,927.83468
0,156,927.97735
0,164,929.489668
0,1160,930.567722
0,16516,956.930361
0,481,957.364353
0,172,958.822955
0,1228,959.957422
0,1996,963.075869
0,93,963.160045
0,301,963.433161
0,9639,978.772369
0,204,978.958708
0,18910,1007.961106
0,200,1008.143599
21,392,1009.815895
0,2974,1013.807257
0,801,1014.542188
0,70,1014.606576
0,766,1016.5653
0,598,1017.114713
0,3588,1022.904521
0,585,1023.443871
0,703,1025.382441
0,123,1025.504056
0,627,1026.073817
0,107,1026.171689
0,237,1026.39263
0,67,1026.454379
0,3692,1032.387866
0,243,1032.610007
0,2195,1035.912199
0,229,1036.116855
1299,1335,1038.589044
0,65,1038.647974
0,575,1039.176717
0,59,1039.2286
0,1511,1041.832666
0,211,1042.021773
0,294,1042.284223
0,56,1042.33518
0,60,1042.38949
238,379,1042.734143
0,158,1042.875272
0,697,1044.839451
0,129,1044.958539
0,732,1045.644173
0,48473,1121.407578
72,226,1121.617044
0,1175,1124.084307
0,3417,1128.650576
4670,4855,1137.24394
0,391,1137.624631
0,59,1137.678331
0,63,1137.737983
0,59,1137.791963
0,55,1137.843974
0,118,1137.954066
0,3643,1144.054629
0,134,1144.178987
0,46,1144.220932
0,49,1144.267791
0,83,1144.346077
0,192,1144.523828
76,102,1144.618838
0,111,1144.723223
0,46,1144.781769
0,41,1144.819354
0,401,1145.197344
0,35,1145.229887
0,66,1145.29356
0,70,1145.360049
0,172,1146.821866
0,94,1146.913241
0,160,1147.069504
0,220,1147.274834
0,55,1147.327177
26,97,1147.41775
0,71,1147.482979
0,226,1147.694844
0,77,1147.765594
0,81,1147.841724
0,95,1147.930798
0,148,1148.075605
0,212,1148.274374
0,25,1148.297515
0,30,1148.327589
0,1262,1150.818591
0,1542,1153.633638
0,89,1153.719401
0,46,1153.762388
0,78,1153.836951
0,281,1154.102373
0,71,1154.170954
0,46,1154.215634
0,250,1154.459655
0,147,1154.599446
0,116,1154.709542
0,94,1154.799236
0,64,1154.861058
0,312,1155.159103
0,136,1156.678303
0,38,1156.715101
0,16955,1183.982225
0,7655,1196.657624
0,3406,1201.296427
0,88,1201.386405
0,121,1201.501505
0,297,1201.785606
0,724,1203.831463
0,259,1204.077966
0,108,1204.180886
0,313,1204.480165
0,32581,1255.207016
0,145,1255.341558
242,425,1255.740357
0,87,1255.820357
160,226,1257.324726
0,252,1257.560147
16,995,1258.480692
0,57,1258.534
0,2061,1261.777082
0,427,1262.173431
0,146,1262.308516
0,106,1262.40579
0,842,1264.477676
0,80,1264.550606
29,312,1264.834108
104,227,1265.039623
0,98,1265.127002
0,321,1265.42455
0,125,1265.538805
0,91,1266.871672
0,96,1266.959373
0,64,1267.019583
0,1030,1267.961381
0,88,1268.043058
5956,7089,1279.754288
0,155,1279.901617
0,211,1280.095447
0,65,1280.156122
0,80,1280.230296
0,1483,1282.860363
0,576,1283.399261
0,58,1283.45161
0,6121,1293.046065
0,47,1293.090353
0,84,1293.168259
0,75,1293.235919
0,489,1293.692904
0,144,1293.824407
0,2926,1299.060714
0,10259,1315.011888
0,173,1315.170841
0,39,1315.208346
0,114,1315.313127
0,29,1315.345331
0,21129,1348.123279
0,504,1348.586602
0,44,1348.628082
0,632,1350.592584
0,237,1350.8199
0,617,1351.416505
0,139,1351.548864
0,709,1353.601657
0,13092,1373.809465
0,160,1373.951849
154,518,1374.417563
0,46,1374.457992
0,56,1374.508903
0,403,1376.11404
0,66,1376.173099
0,472,1376.594596
0,134,1376.713954
0,59,1376.7732
0,58,1376.826154
101,490,1377.263844
0,65,1377.321009
0,85,1377.397454
0,149,1377.532029
0,825,1379.574859
0,7043,1389.931697
0,56,1389.982777
0,493,1390.42984
0,152,1391.868812
0,328,1392.166032
0,177,1392.32516
0,145,1392.460093
0,169,1392.612135
0,138,1392.735208
0,76,1392.802267
0,703,1393.439646
0,527,1395.225585
0,724,1395.887393
0,33,1395.916913
0,43,1395.956222
0,92,1396.041391
0,72,1396.107917
0,159,1396.251426
0,107,1396.348458
0,100,1396.444649
0,50,1396.491034
0,110,1396.591099
0,225,1396.794976
0,166,1398.23723
0,209,1398.430298
0,122,1398.540747
0,168,1398.698006
80,106,1398.794377
0,232,1399.004707
0,128,1399.120353
0,133,1399.242797
0,92,1399.327472
0,199,1399.50686
0,260,1399.74953
0,13581,1420.929076
0,623,1421.505197
0,300,1421.781013
0,169,1423.214391
0,1170,1424.297857
0,678,1424.914783
21,644,1426.843363
0,1458,1428.177039
0,642,1430.075944
0,170,1430.232319
0,2202,1433.639495
0,1249,1436.207019
0,1391,1437.533772
389,928,1439.791907
0,12781,1459.407147
0,325,1459.703588
0,14853,1482.629254
0,125,1482.742756
0,163,1482.890215
0,381,1484.546987
0,277,1484.796
0,641,1485.368125
0,753,1486.047552
0,3641,1491.919115
0,17573,1519.938607
0,45,1519.980339
0,24586,1558.541769
0,29,1558.567645
0,42,1558.606494
0,1692,1561.43695
0,18314,1589.684617
0,7910,1602.072856
1276,1936,1603.888869
0,206,1605.421239
0,5638,1613.385013
0,2478,1618.354981
0,69,1618.422822
0,31,1618.452343
0,44,1618.496288
0,987,1619.421893
0,938,1621.593549
0,276,1621.860789
0,339,1622.17562
0,2098,1625.441182
23,217,1625.642929
0,252,1625.883787
0,680,1626.50925
0,617,1628.405391
0,5730,1637.926776
0,247,1638.164772
0,27,1638.189497
0,271,1638.443894
0,58,1638.497187
0,1125,1639.550553
0,897,1641.767372
0,99,1641.860009
0,327,1642.170688
0,946,1643.055801
0,2055,1646.32772
0,113,1647.754159
0,88,1647.839714
0,63,1647.899261
0,8809,1661.542569
112,4201,1668.058908
0,34859,1721.211848
0,47,1721.257712
0,1545,1724.040313
0,21759,1757.777769
0,5628,1766.785615
0,42,1766.823412
0,174,1766.981089
0,823,1769.017214
0,145,1769.148365
0,349,1769.461336
0,138,1769.584331
0,851,1770.350899
0,218,1770.549898
0,59,1770.603525
0,213,1772.102643
0,85,1772.177593
0,47,1772.220743
0,32,1772.248923
0,1064,1773.207931
0,16084,1797.929818
0,142,1798.066408
0,1471,1800.830848
4863,24087,1838.574607
0,459,1838.995919
0,5409,1846.529557
0,305,1848.134127
0,1324,1849.347275
0,207,1849.536225
0,267,1849.784332
0,2631,1854.79954
0,990,1855.704613
0,435,1856.106291
0,102,1857.526876
0,66,1857.589808
0,121,1857.702398
0,6365,1867.4129
0,92,1867.50365
0,28,1867.528538
0,11792,1886.06741
0,1975,1887.870329
0,8864,1902.315866
0,161,1902.461118
0,74,1902.528927
0,11938,1921.508589
0,5148,1929.067898
0,2756,1934.415226
0,177,1934.580933
0,187,1934.759121
0,10120,1950.835283
0,8541,1963.837038
0,306,1964.118955
0,1276,1966.572242
0,69,1966.633539
0,3012,1970.668637
0,12501,1989.770995
0,69,1989.838937
0,120,1989.950583
0,76,1990.01911
0,52,1990.067654
0,139,1991.524143
0,92,1991.61509
0,308,1991.908395
0,185,1992.090016
0,308,1992.380261
0,147,1992.520631
0,106,1992.62108
0,36,1992.654677
0,361,1992.99791
0,9503,2008.737931
0,409,2009.128528
0,968,2011.405567
0,229,2011.6297
0,139,2011.764033
0,444,2012.187957
0,437,2012.610579
0,2550,2016.428167
0,150,2017.904572
0,88,2017.98771
0,51,2018.034624
0,4893,2025.186243
0,283,2025.44856
0,101,2025.540697
0,149,2025.676002
104,104,2025.771299
0,521,2027.568871
0,277,2027.823094
0,121,2027.935008
0,635,2028.518526
0,26356,2069.474557
0,9773,2085.326047
1144,9619,2099.713216
0,3847,2106.084477
0,124,2106.199505
0,146,2106.33396
0,316,2107.978702
0,20857,2141.385613
0,42,2141.424404
0,1913,2144.567726
0,395,2144.936994
0,131,2145.061017
0,637,2145.662275
0,17546,2173.959055
0,752,2174.644378
